keyword,status,date_used,slug,cluster,pillar_url
fralda geriátrica grátis SUS,done,2025-05-02,fralda-geriatrica-gratis-sus,A — SUS/Gratuidade,/fralda-geriatrica-gratis-sus
fralda geriátrica Farmácia Popular documentos,done,2025-05-10,fralda-geriatrica-farmacia-popular-documentos,A — SUS/Gratuidade,/fralda-geriatrica-gratis-sus
direitos do idoso SUS,done,2025-05-10,direitos-do-idoso-sus,A — SUS/Gratuidade,/fralda-geriatrica-gratis-sus
programa Farmácia Popular como funciona,pending,,,A — SUS/Gratuidade,/fralda-geriatrica-gratis-sus
laudo médico fralda,done,2025-04-18,laudo-medico-fralda-o-que-e,B — Laudo,/laudo-medico-online
como obter laudo médico online,pending,,,B — Laudo,/laudo-medico-online
fralda geriátrica por telemedicina,done,2025-05-10,fralda-geriatrica-por-telemedicina,B — Laudo,/laudo-medico-online
renovar laudo médico fralda,pending,,,B — Laudo,/laudo-medico-online
médico online geriatria,pending,,,B — Laudo,/laudo-medico-online
incontinência urinária idosos,done,2025-03-28,incontinencia-urinaria-idosos,C — Incontinência,/incontinencia-urinaria-idosos
incontinência urinária tratamento,pending,,,C — Incontinência,/incontinencia-urinaria-idosos
fralda para idoso com demência,pending,,,C — Incontinência,/incontinencia-urinaria-idosos
cuidar de idoso em casa,done,2025-04-10,cuidar-de-idoso-em-casa-guia,D — Cuidados,/cuidar-de-idoso-em-casa
cuidador de idoso profissional,pending,,,D — Cuidados,/cuidar-de-idoso-em-casa
fralda geriátrica para acamado,pending,,,D — Cuidados,/cuidar-de-idoso-em-casa
tamanho certo fralda adulto,done,2025-03-15,tamanho-certo-fralda-adulto,E — Produto,/
farmácia popular perto de mim,done,2025-03-05,farmacia-popular-perto-de-mim,A — SUS/Gratuidade,/fralda-geriatrica-gratis-sus
fraldas absorção alta noturna,pending,,,E — Produto,/
como escolher fralda geriátrica,pending,,,E — Produto,/
quanto custa fralda geriátrica,pending,,,E — Produto,/
